"model","reference_size","size","informal_estimate","informal_se","informal_p","formal_estimate","formal_se","formal_p"
"(1)","Solo","2-3",0.196698109463746,0.0102139216161076,1.21325996293278e-82,0.0216394199072436,0.0290010780487684,0.455571278122434
"(1)","Solo","4-5",0.342565212010769,0.0119480453930175,8.71597631436787e-181,0.0246139137163636,0.0365382579282288,0.500535314352831
"(1)","Solo","6-10",0.391723339908919,0.0133504116648424,3.05231075940255e-189,0.0228275170283226,0.0363648171489382,0.530176678680379
"(1)","Solo","11-19",0.40797860909478,0.0159207596398419,7.91619015440828e-145,0.0350342512768319,0.0341315572147905,0.304680702194055
"(1)","Solo","20-30",0.401367599903084,0.0155002326045327,7.72166444462768e-148,0.0237143040166841,0.0335936864183552,0.480240686485047
"(1)","Solo","31-50",0.399427184222317,0.0177891247748984,1.18421176100262e-111,0.0418206401990609,0.0327922792836221,0.202196103176877
"(1)","Solo","51-100",0.40874062117229,0.020271069925858,2.0386615802043e-90,0.0685753979498931,0.0323538194312692,0.0340443782333688
"(1)","Solo","101+",0.335685744452006,0.0199593960168038,1.78829416565523e-63,0.153563645355786,0.0378743103818746,5.02288625107733e-05
"(2)","Solo","2-3",0.176352311720183,0.00984026502900355,8.01375790655935e-72,0.0236911008702947,0.0293886601703827,0.420167498039235
"(2)","Solo","4-5",0.310755426300966,0.0110519781941297,5.96445344160901e-174,0.0271365057484073,0.0371302382862288,0.464872899976081
"(2)","Solo","6-10",0.352240319539879,0.0116237609924208,1.03173985438107e-201,0.0231167255991503,0.0369369586895429,0.531418127630032
"(2)","Solo","11-19",0.368461031824207,0.0142489947970881,1.94040689094923e-147,0.0377258749763503,0.0345780464383028,0.27525727750994
"(2)","Solo","20-30",0.358847433484435,0.0134999373725146,1.11345992502501e-155,0.0250010295656909,0.0343033279530236,0.466110383229424
"(2)","Solo","31-50",0.359397366554367,0.0177097446235621,1.45981433730033e-91,0.0454475616927659,0.0334675479015398,0.174476658120548
"(2)","Solo","51-100",0.368639252664549,0.0191941475777567,3.30888127624749e-82,0.0706006103878006,0.033260588010547,0.0337831331584157
"(2)","Solo","101+",0.303822982554665,0.0200986047708492,1.25836766397588e-51,0.160504834921508,0.0395952447238085,5.04269776291737e-05
"(3)","Solo","2-3",0.17640111616114,0.010415236012079,2.40739796352041e-64,0.0206868766950613,0.0291259553286572,0.477545566481138
"(3)","Solo","4-5",0.307974103827577,0.0114647660287014,6.00076983780062e-159,0.0231574705187899,0.03688197645038,0.530082284669639
"(3)","Solo","6-10",0.348520666700866,0.0118622662215301,9.71472187577524e-190,0.0194461014944295,0.0366872117548969,0.59607641588362
"(3)","Solo","11-19",0.363517874895346,0.0143726500439425,3.87890108525211e-141,0.0332505969167372,0.0342535954865147,0.331688504620487
"(3)","Solo","20-30",0.354402913234518,0.0137679707171408,4.05336141296978e-146,0.0210552644121932,0.0339144352967328,0.534708270162503
"(3)","Solo","31-50",0.351281117682751,0.017928468737082,1.75751524471304e-85,0.0402501775109096,0.0330352625872393,0.223071849033354
"(3)","Solo","51-100",0.359132760209333,0.019315059260165,3.63346887207818e-77,0.0660038556974972,0.0328305018398406,0.0443843133496934
"(3)","Solo","101+",0.288404573285099,0.0194995516523394,1.69152289404618e-49,0.147089021821786,0.039075268043904,0.000167050653379661
"(4)","Solo","2-3",0.113342242796067,0.0132112841393296,9.55356233623406e-18,-0.0718856368811007,0.028529634513593,0.011746054390606
"(4)","Solo","4-5",0.255578134946558,0.0161256257692615,1.42400548831594e-56,-0.0218863791094874,0.0326978906694856,0.503271341678011
"(4)","Solo","6-10",0.324255015671977,0.0169348322536246,1.0208677854631e-81,0.013122504061408,0.0336175504408152,0.696280103052628
"(4)","Solo","11-19",0.354160691619792,0.0178743022845759,2.25626182948198e-87,0.0398102795402812,0.0317466113469406,0.209841674423379
"(4)","Solo","20-30",0.362323067299729,0.0169948881283846,7.48021359310245e-101,0.0393291942202311,0.0312515346416024,0.208220957876696
"(4)","Solo","31-50",0.363245458725059,0.0197205011644711,9.13300992695275e-76,0.0597559570799328,0.0308075949129378,0.052422217808597
"(4)","Solo","51-100",0.372814249184355,0.0197452579568722,1.62830685846798e-79,0.0854539393317425,0.0308590617183584,0.00561995750141952
"(4)","Solo","101+",0.316176874615872,0.0187159342701874,5.02673170970783e-64,0.152908472086892,0.0369580898404408,3.5134333230055e-05
"(1)","101+","Solo",-0.335685744451924,0.019959396016721,1.78829416367613e-63,-0.153563645355618,0.0378743103818121,5.02288625102857e-05
"(1)","101+","2-3",-0.138987634988196,0.0173826884230233,1.28787226084477e-15,-0.131924225448524,0.0178962741164254,1.68588612100649e-13
"(1)","101+","4-5",0.00687946755885113,0.0162684825111202,0.672389467930669,-0.128949731639407,0.0116100151318371,1.16294208259804e-28
"(1)","101+","6-10",0.056037595457011,0.0157518703921502,0.000374372469889499,-0.130736128327433,0.0121086225773447,3.55848163629714e-27
"(1)","101+","11-19",0.072292864642779,0.0163332997332328,9.59507850393084e-06,-0.118529394078955,0.014746316470677,9.13923314018385e-16
"(1)","101+","20-30",0.0656818554513057,0.016119628922505,4.60834859915138e-05,-0.129849341339141,0.0145674422988654,4.93715978162417e-19
"(1)","101+","31-50",0.0637414397700241,0.0158629228615266,5.8628051681312e-05,-0.111743005156695,0.0136620130559891,2.8596577887353e-16
"(1)","101+","51-100",0.0730548767200203,0.0158051412447752,3.796508073922e-06,-0.0849882474058556,0.0122098500080278,3.38754567070336e-12
"(2)","101+","Solo",-0.303822982554506,0.0200986047945606,1.25836800484063e-51,-0.160504834921989,0.0395952446502622,5.04269760027227e-05
"(2)","101+","2-3",-0.127470670834367,0.0168933153111812,4.50113621551323e-14,-0.136813734051228,0.0180416933622736,3.37139584891903e-14
"(2)","101+","4-5",0.00693244374643665,0.0162701639682443,0.670047211661165,-0.133368329173128,0.012453590474938,9.21276878213399e-27
"(2)","101+","6-10",0.0484173369853277,0.015647643002286,0.00197327399716751,-0.137388109322371,0.0129251547865247,2.17242380943636e-26
"(2)","101+","11-19",0.0646380492695467,0.0161062191556392,5.98921257991424e-05,-0.122778959945149,0.0161303890158072,2.70607624478298e-14
"(2)","101+","20-30",0.0550244509299189,0.0160354598951257,0.000600422862582344,-0.135503805355838,0.015784453820307,9.11237444857181e-18
"(2)","101+","31-50",0.0555743840000544,0.0154607804791419,0.000324966014717389,-0.115057273228763,0.0147907962009902,7.311296996036e-15
"(2)","101+","51-100",0.0648162701100474,0.0152232231398585,2.06519445086197e-05,-0.0899042245337239,0.0133134767942312,1.44945320221308e-11
"(3)","101+","Solo",-0.288404573287392,0.0194995516524139,1.69152289251168e-49,-0.14708902182046,0.0390752680438557,0.000167050653399238
"(3)","101+","2-3",-0.112003457126152,0.016260560461431,5.65646884324876e-12,-0.126402145126553,0.0176215216736713,7.32815361794668e-13
"(3)","101+","4-5",0.0195695305402503,0.0160610390379585,0.22305401880308,-0.123931551302893,0.0119076355637728,2.28588501179309e-25
"(3)","101+","6-10",0.0601160934135727,0.0155720530854159,0.000113149813930107,-0.127642920327215,0.0124840572438581,1.54061841668885e-24
"(3)","101+","11-19",0.075113301608073,0.016184156562917,3.46454417148367e-06,-0.113838424904941,0.0158072606062096,5.94863968121793e-13
"(3)","101+","20-30",0.0659983399471506,0.0160147190534377,3.77059394574927e-05,-0.126033757409436,0.0152574874377141,1.45120693239718e-16
"(3)","101+","31-50",0.0628765443955988,0.0153666461383925,4.2812164415967e-05,-0.10683884431078,0.0142483906202281,6.46460624357031e-14
"(3)","101+","51-100",0.0707281869220927,0.0151763826537839,3.15577963121832e-06,-0.0810851661241765,0.012650372969596,1.45800930128461e-10
"(4)","101+","Solo",-0.316176874618039,0.0187159342702669,5.02673170595595e-64,-0.152908472085523,0.0369580898404135,3.51343332352599e-05
"(4)","101+","2-3",-0.202834631821905,0.0156219241947411,1.50849306920943e-38,-0.224794108967799,0.0182252870078248,5.92838370862559e-35
"(4)","101+","4-5",-0.0605987396714639,0.0168272002786595,0.000316706453319715,-0.174794851196269,0.0119379929461738,1.51775991582377e-48
"(4)","101+","6-10",0.00807814105398744,0.0168387051210182,0.631414787639561,-0.139785968025338,0.010677054220458,3.64956397638221e-39
"(4)","101+","11-19",0.0379838170018187,0.0167556753445389,0.0233949620751953,-0.113098192546507,0.0135369163822684,6.55451624556183e-17
"(4)","101+","20-30",0.046146192681649,0.0167008606668317,0.00572547537640376,-0.1135792778665,0.0127128096731414,4.09990861199732e-19
"(4)","101+","31-50",0.0470685841072224,0.0157027780456901,0.00272231902500181,-0.0931525150068641,0.0122081119031717,2.34065410537945e-14
"(4)","101+","51-100",0.0566373745664191,0.0153175618677602,0.00021769462220055,-0.0674545327550414,0.0111539251875456,1.4701493379037e-09
"(1)","11-19","Solo",-0.407978609095573,0.0159207596398063,7.91619013263269e-145,-0.0350342512758323,0.0341315572147112,0.30468070220673
"(1)","11-19","2-3",-0.211280499631847,0.013499411333517,3.26578459274572e-55,-0.0133948313687167,0.0142278752556493,0.346474365301345
"(1)","11-19","4-5",-0.0654133970847899,0.00923687429601975,1.42327207828924e-12,-0.0104203375596089,0.00895213600627396,0.244421691817284
"(1)","11-19","6-10",-0.0162552691866413,0.00622607265583449,0.00903205788876163,-0.0122067342475844,0.00694817125472072,0.0789473165075322
"(1)","11-19","20-30",-0.00661100919224393,0.00754811730104443,0.381112257412183,-0.0113199472593728,0.00454955089077144,0.0128410972592049
"(1)","11-19","31-50",-0.00855142487378097,0.0110900801037881,0.440654923243188,0.00678638892311752,0.00546293730060832,0.214140619370709
"(1)","11-19","51-100",0.000762012076069095,0.0139166099416287,0.956333187752081,0.0335411466739618,0.00739693017742668,5.77487271098215e-06
"(1)","11-19","101+",-0.0722928646444972,0.0163332997333109,9.59507850019575e-06,0.118529394079865,0.01474631647071,9.13923313692868e-16
"(2)","11-19","Solo",-0.368461031824976,0.0142489948388151,1.940410693533e-147,-0.0377258749765841,0.0345780463315926,0.275257276025465
"(2)","11-19","2-3",-0.192108720104838,0.0112643364176724,3.23092469739261e-65,-0.0140347741058014,0.0135263904344685,0.299463501006976
"(2)","11-19","4-5",-0.0577056055240137,0.00852937413442602,1.32836167360069e-11,-0.010589369227732,0.00825828315282311,0.199747077932423
"(2)","11-19","6-10",-0.0162207122851506,0.00619683901375924,0.00885561287462405,-0.0146091493769413,0.00683956779907307,0.0326814093267783
"(2)","11-19","20-30",-0.00961359834056787,0.00735879899347816,0.191413640512156,-0.0127248454104019,0.00441696546977625,0.00396538699262843
